parameter_id,canonical_name,aliases,definition,domain_area,subdomain,clinical_episode,parameter_role,data_type,unit,allowed_values,reference_range_or_threshold,population_scope,specimen_or_source,temporal_anchor,clinical_use,knowledge_or_skill,omission_consequence_patient,omission_consequence_expert,criticality,patient_harm_priority,diagnostic_priority,management_priority,monitoring_priority,omission_consequence_priority,domain_coverage_priority,empirical_validation_priority,data_availability_priority,priority_rationale,priority_context,priority_source,priority_confidence,priority_disagreement,evidence_source,source_version_date,jurisdiction_scope,repository_candidates,empirical_status,conflict_status,residual_reason,review_status
P-AU-005,Patrón ANA ICAP,AC-1..AC-29,"Patrón IIF ANA según nomenclatura ICAP, no texto libre de laboratorio.",Autoinmunidad lab,AAN,Sospecha CTD,entrada,categórico,código ICAP,AC-1 a AC-29 / mixto / no ICAP,"el patrón orienta ENA, no diagnostica",cualquier edad,IIF HEp-2,mismo ensayo que el título,clasificación,ICAP; no inventar sinónimos,se pide mal el ENA,texto libre no interoperable,no crítico,8,14,6,4,9,12,8,7,interoperabilidad de laboratorio,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ICAP,ICAP vigente,internacional / ES (MIR-POE) según fuente,raro en A1,no buscado,pendiente,labs no ICAP,propuesto
P-AU-006,Anti-dsDNA,anti-DNA nativo,"Anticuerpo anti-ADN bicatenario por método declarado (Farr, Crithidia, ELISA, CLIA).",Autoinmunidad lab,LES,LES / nefritis,estado,cuantitativo,según método,según método,método-dependiente; no intercambiar unidades,principalmente LES,suero,diagnóstico y actividad renal,diagnóstico / actividad,no usar ELISA débil como Farr,nefritis no vigilada,cambiar de método sin recalibrar tendencia,condicionalmente crítico,14,17,13,16,14,14,10,8,útil en LES; método es el residual,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ACR/EULAR 2019; SLICC,2019,internacional / ES (MIR-POE) según fuente,ImmPort LES,no buscado,pendiente,método ≠ método,propuesto
P-AU-007,Anti-Ro/SSA,anti-SSA; Ro52/Ro60,Anticuerpo anti-Ro/SSA. Ro52 y Ro60 no se fusionan si el lab los separa.,Autoinmunidad lab,SS / LES / neonatal,Gestación / SS / LES,entrada,categórico o cuantitativo,según ensayo,neg; Ro52; Ro60; ambos; no separado,en gestante positiva: riesgo BAV neonatal,mujer en edad fértil + CTD,suero,preconcepcional / T1,pronóstico / vigilancia fetal,Ro52 ≠ Ro60 para BAV; no esperar SS clínico,BAV neonatal no vigilado,no preguntar gestación ante anti-Ro,crítico,18,16,17,18,18,12,9,7,daño fetal: prioridad de daño alta pese a rareza del BAV,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,guías SS/LES gestación,declarar guía obstetricia autoinmune,internacional / ES (MIR-POE) según fuente,no típico A1,no buscado,pendiente,Ro52/Ro60 a menudo fusionados,propuesto
P-AU-008,Anticoagulante lúpico,LA,Presencia de anticoagulante lúpico por criterio ISTH (dRVVT/aPTT + mezcla + confirmación).,Autoinmunidad lab,SAF,Trombosis / obstétrico / APTT alargado,entrada,categórico,presente/ausente,positivo; negativo; no interpretable (anticoagulación),ISTH; repetir a 12 semanas para criterio de síndrome,adulto / obstétrico,plasma pobre en plaquetas,fuera de evento agudo si posible; +12 sem,diagnóstico,LA ≠ aCL ≠ B2GP1; triple positivo es relación,SAF no visto: retrombosis o pérdida fetal,usar ELISA aCL como si fuera LA,crítico,17,18,17,10,17,12,8,6,criterio ISTH; no sustituible,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ISTH SSC LA; ACR/EULAR SAF 2023,ISTH; ACR/EULAR SAF 2023,internacional / ES (MIR-POE) según fuente,ensayos SAF si ImmPort,no buscado,pendiente,triple positivo es relación,propuesto
P-AU-009,Anticardiolipina IgG,aCL IgG,Anticardiolipina de clase IgG. No IgM. No B2GP1.,Autoinmunidad lab,SAF,Trombosis / obstétrico,entrada,cuantitativo,GPL,≥0,medio/alto según ensayo y criterio vigente,adulto / obstétrico,suero,+12 semanas para criterio,diagnóstico,IgG ≠ IgM; unidad GPL,SAF incompleto,sumar IgM débil como si fuera IgG alto,condicionalmente crítico,14,16,14,8,14,11,8,7,una pata del triple; no el síndrome,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ACR/EULAR SAF 2023,2023,internacional / ES (MIR-POE) según fuente,ImmPort,no buscado,pendiente,IgM y B2GP1 son otros parámetros,propuesto
P-TX-001,Prueba cruzada CDC T/B,CDC XM,Resultado de XM por citotoxicidad dependiente de complemento para T y B.,Trasplante,Histocompatibilidad,Oferta de órgano,condición,categórico,T/B pos/neg,T-B-; T+B-; T-B+; T+B+; no realizada,T+ CDC es barrera clásica de hiperagudo; políticas de centro varían,candidato SOT,suero receptor + células donante,pre-implante,exclusión,CDC ≠ flow XM ≠ DSA virtual,rechazo hiperagudo,usar solo DSA virtual,crítico,20,16,20,5,20,11,8,4,minutos/horas; hold-out de órgano,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ASHI / ONT-ES; POE 5.2.4,SOP del laboratorio HLA,internacional / ES (MIR-POE) según fuente,no A1 IEI,no encontrado,pendiente,hold-out; flow XM es otro parámetro,propuesto
P-TX-002,DSA IgG (antígeno único),DSA Luminex,"Ac IgG donante-específico por antígeno único, con especificidad HLA declarada.",Trasplante,Alosensibilización,Lista de espera / post-SOT,estado,cuantitativo + categórico,MFI + especificidad,especificidad HLA + MFI; negativo,umbral MFI de centro; no hay MFI universal,candidato o receptor SOT,suero / SAB,pre y post,pronóstico / tratamiento,MFI no es título de CDC; clase I ≠ II,rechazo humoral no anticipado,tratar MFI como prueba cruzada,crítico,17,15,17,16,17,12,8,4,umbral MFI es residual de centro,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ASHI; Banff humoral; POE 5.2.4,Banff vigente + SOP centro,internacional / ES (MIR-POE) según fuente,no A1,no buscado,pendiente,MFI no comparable entre plataformas,propuesto
P-TX-003,Días desde el trasplante de órgano sólido,POD,Tiempo en días desde el implante del órgano índice.,Trasplante,Tiempo de protocolo,Post-SOT,contexto,temporal,días,≥0,ventanas de rechazo e infección son órgano-específicas,receptor SOT,HCE,fecha de implante,contexto,el día cambia la priorización CMV vs rechazo,profilaxis o biopsia fuera de ventana,aplicar protocolo de mes 12 en día 7,condicionalmente crítico,12,8,14,15,13,10,9,8,"contexto, no biomarcador; tiempo es frontera SV",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,protocolos SOT,protocolo órgano,internacional / ES (MIR-POE) según fuente,ensayos SOT,no buscado,pendiente,"tiempo es dato externo, no primitiva SV",propuesto
P-VIR-001,CMV PCR cuantitativa,CMV DNAemia,"Carga de ADN de CMV en sangre o plasma, método declarado.",Infección en IC,Herpesvirus,SOT / TPH / IEI combinada,estado,cuantitativo,UI/mL o copias/mL,no detectado; número,"umbral de preemptive therapy es de protocolo, no universal",IC,plasma/sangre,día post-SOT o síntoma,vigilancia / tratamiento,serostatus D/R es otro parámetro; PCR ≠ enfermedad de órgano,enfermedad CMV invasiva,tratar DNAemia como si fuera colitis,crítico,16,14,17,19,16,13,9,6,vigilancia máxima en SOT; umbral residual,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,guías CMV SOT TTS/AST,guía órgano,internacional / ES (MIR-POE) según fuente,ImmPort ensayos CMV,no buscado,pendiente,UI vs copias; enfermedad ≠ DNAemia,propuesto
P-VIR-002,Serostatus CMV donante/receptor,CMV D/R,Combinación serológica CMV del donante y del receptor pre-SOT.,Trasplante,Riesgo viral,Pre-SOT,condición,categórico,D/R,D+/R-; D+/R+; D-/R+; D-/R-; desconocido,D+/R- es máximo riesgo clásico,par donante-receptor,serología IgG,pre-implante,profilaxis,no inferir de PCR,profilaxis CMV no dada en D+/R-,olvidar el donante,crítico,16,12,18,12,16,11,9,6,"par, no un serostatus aislado",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,TTS CMV,guía,internacional / ES (MIR-POE) según fuente,ensayos SOT,no buscado,pendiente,no aplica igual a IEI no transplantado,propuesto
P-VIR-003,Serostatus VHB pre-inmunosupresión,HBsAg / anti-HBc,HBsAg y anti-HBc (y anti-HBs si se declara) antes de iniciar IS.,Infección en IC,Hepatitis B,Pre-IS / pre-anti-CD20 / pre-SOT,entrada,categórico,perfil,HBsAg+; HBsAg-/anti-HBc+; vacunado anti-HBs+ aislado; naïve; incompleto,anti-HBc+ HBsAg- exige estrategia de reactivación,candidato a IS,suero,antes del primer IS,profilaxis,anti-CD20 + anti-HBc+ = alto riesgo de reactivación,hepatitis B fulminante iatrogénica,iniciar rituximab sin serología,crítico,19,14,19,12,19,13,9,7,omisión iatrogénica clásica,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,EASL/AASLD reactivación VHB; fichas anti-CD20,EASL vigente,internacional / ES (MIR-POE) según fuente,no A1 IEI,no buscado,pendiente,perfil es tupla; no fusionar HBsAg solo,propuesto
P-VIR-004,VIH serología o carga documentada,HIV status,"Estado VIH documentado. Si positivo, carga y CD4 son parámetros aparte.",ID secundaria,VIH,Fenocopia IEI / pre-IS,condición,categórico,estado,negativo; positivo conocido; no documentado,"no documentado es un estado, no un vacío inocuo",según contexto,serología / HCE,antes de etiquetar IEI o iniciar IS,diagnóstico diferencial,POE nombra VIH; no es IEI,fenocopia de IEI no vista; PJP no profilaxada,meter VIH en registro PID,crítico,18,18,16,10,18,14,10,8,"DD obligatorio, objeto distinto de IEI",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,POE 5.1.9; CDC/EACS VIH,POE 2006 + guía VIH vigente,internacional / ES (MIR-POE) según fuente,no ESID (objeto distinto),no buscado,pendiente,cohorte VIH ≠ dominio IEI,propuesto
P-VIR-005,IGRA (Quantiferon o T-SPOT),IGRA TB,"Resultado de IGRA para infección tuberculosa, método declarado.",Infección en IC,TB latente,Pre-anti-TNF / pre-IS / IEI,entrada,categórico,pos/neg/indet,positivo; negativo; indeterminado,indeterminado es frecuente en IC y no es negativo,candidato a anti-TNF/IS,sangre,antes del biológico,profilaxis,indeterminado ≠ negativo; no sustituye rx tórax,TB diseminada post-anti-TNF,tratar indeterminado como negativo,crítico,18,14,17,8,18,12,8,7,iatrogenia evitable,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,guías anti-TNF / NICE TB,guía jurisdicción,internacional / ES (MIR-POE) según fuente,no A1 típico,no buscado,pendiente,indeterminado en IC,propuesto
P-VAC-006,Título de anticuerpos anti-tétanos,tetanus toxoid Ab,"IgG específica frente a toxoide tetánico, método declarado. No es 'respuesta vacunal' global.",Inmunoprofilaxis / PAD,Respuesta a vacuna proteica,Estudio PAD / CVID,salida funcional,cuantitativo,UI/mL,≥0,punto de protección del ensayo,PAD / pediatría,suero post-vacuna,semanas post-dosis declaradas,clasificación funcional,una vacuna ≠ respuesta a polisacárido,CVID mal clasificado o IGRT mal indicada,usar el compuesto respuesta vacunal,condicionalmente crítico,11,16,12,9,12,15,8,6,ensayo funcional indivisible; no el compuesto prohibido,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,criterios ESID CVID; AAAAI PAD,ESID CVID versionado,internacional / ES (MIR-POE) según fuente,ImmPort ensayos vacuna; ESID si lo recogen,no buscado,pendiente,otras vacunas son otros parámetros,propuesto
P-VAC-007,IGRT en curso (vía y producto),IVIG/SCIG,"Administración vigente de inmunoglobulina de reemplazo, con vía y producto declarados.",Inmunoprofilaxis,Reemplazo Ig,PAD / CVID / XLA / secondary PAD,tratamiento,categórico,vía+producto,IVIG; SCIG; facilitada; ninguna; desconocido,valle de IgG es otro parámetro,indicación de reemplazo,HCE,día de infusión,tratamiento,vía ≠ dosis ≠ valle,interrupción inadvertida: infección,cambiar de vía sin registrar producto,condicionalmente crítico,14,4,16,15,14,14,8,6,"tratamiento, no diagnóstico",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ESID / UKPIN IGRT,guía IGRT,internacional / ES (MIR-POE) según fuente,ESID USIDNET REDIP,no buscado,pendiente,valle IgG aparte,propuesto
P-HLH-001,Ferritina sérica,ferritin,Concentración de ferritina en suero. Un item HLH no es HLH.,HLH / inflamación,HLH-2004 item,Fiebre + citopenias + sospecha HLH/MAS,entrada,cuantitativo,ng/mL,≥0,HLH-2004 ≥500; en práctica HLH a menudo >>10000; no patognomónico,cualquier edad,suero,episodio agudo,diagnóstico / gravedad,un item HLH no es HLH,HLH no orientado,cerrar HLH con una ferritina,condicionalmente crítico,16,15,12,14,15,12,9,10,"item, no síndrome",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,HLH-2004,HLH-2004 / revisiones,internacional / ES (MIR-POE) según fuente,ESID HLH familiar,no buscado,pendiente,criterio compuesto HLH no es este parámetro,propuesto
P-HLH-002,sCD25 (IL-2R soluble),sIL-2R,Cadena alfa soluble del receptor de IL-2.,HLH,HLH-2004 item,Sospecha HLH,entrada,cuantitativo,U/mL,≥0,HLH-2004 ≥2400 U/mL (ensayo histórico); no exportar sin método,sospecha HLH,suero,episodio agudo,diagnóstico,ensayo poco disponible; no retrasar tratamiento florido,criterio no evaluable; retraso,esperar sCD25 para tratar HLH florido,condicionalmente crítico,15,16,10,8,14,9,6,3,útil y a menudo inaccesible,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,HLH-2004,2004 + método local,internacional / ES (MIR-POE) según fuente,ESID,inaccesible,pendiente,ensayo y umbral históricos,propuesto
P-HLH-003,Fibrinógeno,fibrinogen,Concentración de fibrinógeno.,HLH / CID,HLH-2004 item,Sospecha HLH,entrada,cuantitativo,mg/dL o g/L,≥0,HLH-2004 <150 mg/dL,agudo,plasma citrado,episodio,diagnóstico / gravedad,unidad; CID es otro marco,item HLH perdido,unidad g/L leída como mg/dL,condicionalmente crítico,13,14,10,12,13,10,8,9,item,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,HLH-2004,2004,internacional / ES (MIR-POE) según fuente,ESID,no buscado,pendiente,unidad,propuesto
P-GEN-001,Hallazgo genético IEI (gen + clase de variante),IEI gene finding,Resultado genético de IEI como gen HGNC + clase ACMG + cigosidad. No 559 filas-gen.,IEI,Genética,Confirmación / consejo / HSCT,entrada,texto controlado,gen+ACMG,HGNC + P/LP/VUS/B/LB + cigosidad; no realizado; no informativo,P/LP no iguala fenotipo; VUS no trata,sospecha monogénica,ADN,tras fenotipo,clasificación / tratamiento,IUIS tabla vigente; no tratar VUS,HSCT o consejo no ofrecidos; o tratar un VUS,explotar 559 genes como parámetros operativos,condicionalmente crítico,16,18,15,6,16,20,7,3,cubre el hueco de las 559 entidades sin fingir exhaustividad génica,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS 2024 I–X; ACMG/AMP,IUIS 2024; ACMG 2015/2018,internacional / ES (MIR-POE) según fuente,ESID USIDNET (gen declarado),inaccesible,pendiente,559 entidades IUIS quedan en residual de entidades,propuesto
P-CLI-001,Antecedente familiar de IEI o muerte infantil precoz,FHx IEI,"Historia familiar de ID, consanguinidad o muerte infecciosa infantil en árbol de 3 generaciones.",IEI,Anamnesis,Primera visita,entrada,categórico,categoría,familiar afectado; consanguinidad; muerte infantil; ninguno; no preguntado,no preguntado ≠ negativo,cualquier,anamnesis,primera visita,diagnóstico,árbol; X-linked vs AR,retraso diagnóstico de hermanos,no preguntar consanguinidad,condicionalmente crítico,14,17,10,5,15,14,6,8,barato y a menudo omitido,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ESID diagnóstico; POE 5.1.8,POE 2006 + práctica ESID,internacional / ES (MIR-POE) según fuente,ESID USIDNET REDIP,no buscado,pendiente,calidad del árbol variable,propuesto
P-CLI-002,Consanguinidad parental,consanguinity,Relación de consanguinidad entre los progenitores.,IEI,Anamnesis,Primera visita,contexto,booleano,sí/no,sí; no; desconocido,"sí eleva prior de AR, no diagnostica",pediatría / IEI,anamnesis,basal,contexto,preguntar sin estigmatizar,panel génico mal priorizado,asumir de novo,no crítico,9,13,6,3,10,11,6,8,contexto genético,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ESID,práctica,internacional / ES (MIR-POE) según fuente,ESID REDIP,no buscado,pendiente,,propuesto
P-CLI-003,Bronquiectasias documentadas,bronchiectasis,Presencia de bronquiectasias en prueba de imagen declarada.,PAD / CVID,Daño estructural,PAD de repetición,desenlace,booleano,sí/no,sí; no; no estudiado,no estudiado ≠ ausente,PAD,TCAR,fecha del TC,gravedad / vigilancia,indicación de TC no es este parámetro,daño estructural no seguido,tratar solo IgG,condicionalmente crítico,13,10,14,14,13,12,7,5,desenlace de PAD,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,criterios CVID / UKPIN,guía PAD,internacional / ES (MIR-POE) según fuente,ESID,no buscado,pendiente,imagen no en A1,propuesto
P-CLI-004,Citopenia autoinmune documentada,AIHA / ITP / Evans,"Citopenia de mecanismo autoinmune documentado, con linaje declarado.",Autoinmunidad / IEI,Citopenias,ALPS / CVID / LES / IPEX-like,estado,categórico,linaje,AIHA; ITP; neutropenia autoinmune; Evans; ninguna; no estudiada,linaje debe declararse; Evans es combinación,IEI y CTD,clínica + lab,episodio,clasificación / tratamiento,no llamar Evans a una sola citopenia,ALPS/IPEX-like no orientados,fusionar linajes,condicionalmente crítico,14,15,15,12,14,13,7,6,puente IEI-autoinmunidad,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS IV/IX; criterios ALPS,IUIS 2024,internacional / ES (MIR-POE) según fuente,ESID USIDNET,no buscado,pendiente,cada linaje podría ser fila futura,propuesto
P-CLI-005,Asplenia o esplenectomía,asplenia,"Ausencia anatómica o funcional de bazo, o esplenectomía documentada.",ID secundaria,Barrera física,Infección capsulada / post-esplenectomía,condición,categórico,categoría,esplenectomía; asplenia congénita; hipoesplenismo funcional; bazo presente; desconocido,Howell-Jolly es otro parámetro,cualquier,HCE / imagen / frotis,permanente salvo rarezas,profilaxis / vacunas,calendario de asplenia ≠ calendario IEI,sepsis por capsulado,no vacunar ni educar,crítico,17,10,18,10,17,12,8,8,profilaxis y educación; objeto no IEI,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,POE; calendarios asplenia,calendario jurisdicción,internacional / ES (MIR-POE) según fuente,no A1 IEI como objeto principal,no buscado,pendiente,funcional vs anatómica,propuesto
P-CLI-006,Embarazo en curso,pregnancy,Gestación en curso en la paciente.,Contexto,Población especial,Cualquier decisión IS / anti-Ro / vacuna,contexto,booleano,sí/no,sí; no; posible no confirmado,"trimestre es relación temporal, no este parámetro",persona con útero,clínica / test,día de la decisión,contexto,"cambia vacunas, teratógenos, anti-Ro",fármaco teratógeno o BAV no vigilado,no preguntar,crítico,18,8,18,12,18,10,7,8,contexto que cambia casi toda decisión,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,fichas técnicas; guías gestación autoinmune,ficha,internacional / ES (MIR-POE) según fuente,ensayos excluyen gestantes → hueco empírico,no buscado,pendiente,trimestre y lactancia no incluidos,propuesto
P-CLI-007,Edad en años (o días si neonato),age,Edad cronológica en la unidad adecuada al episodio.,Contexto,Población,Cualquiera,contexto,cuantitativo,años o días,≥0,cambia todos los rangos de lab,universal,HCE,día de la medida,contexto,no aplicar rango adulto a lactante,SCID no visto por rango erróneo,error de referencia,crítico,15,16,14,10,16,18,12,14,contexto universal; no primitiva SV,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,laboratorio + pediatría,n/a,internacional / ES (MIR-POE) según fuente,todos los clínicos,no buscado,pendiente,"tiempo/edad son frontera, no primitiva",propuesto
P-NEO-001,Grado de CRS (ASTCT),CRS grade,Grado de síndrome de liberación citocínica según ASTCT. No un compuesto 'toxicidad CAR-T'.,Terapia celular,CAR-T,Post-infusión CAR-T / bispecífico,desenlace,ordinal,grado 0-5,0;1;2;3;4;5,ASTCT 2019,receptor CAR-T o TCE,clínica,horas-días post-infusión,tratamiento,CRS ≠ ICANS,tocilizumab/UCI no activados,fusionar CRS e ICANS,crítico,19,16,19,18,19,8,7,4,"alta intensidad, baja cobertura de repos A1",candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ASTCT 2019 CRS/ICANS,2019,internacional / ES (MIR-POE) según fuente,no A1,no buscado,pendiente,ICANS es otro parámetro no listado aún,propuesto
P-NEO-002,Órgano afectado por irAE,irAE organ,Órgano o sistema principal de un evento adverso inmunomediado de checkpoint. No la gravedad compuesta.,Inmunooncología,Checkpoint,Tras anti-PD1/CTLA4,desenlace,categórico,órgano,colon; pulmón; hígado; hipófisis; tiroides; piel; miocardio; SNC; otro; ninguno,CTCAE grado es otra relación,tratado con ICI,clínica,durante o meses post-ICI,tratamiento,miocarditis ≠ colitis en urgencia,miocarditis no vista,un irAE genérico,crítico,18,15,18,14,18,9,7,4,órgano cambia la urgencia; no fusionar,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ASCO/ESMO/SITC irAE,guía vigente,internacional / ES (MIR-POE) según fuente,ensayos ICI no auditados en A1,no buscado,pendiente,grado CTCAE no incluido,propuesto
P-LAB-001,Triptasa sérica,tryptase,Concentración de triptasa sérica.,Inmunoalergia / mastocito,Anafilaxia / mastocitosis,Anafilaxia / sospecha mastocitosis,estado,cuantitativo,µg/L,≥0,"basal vs pico; fórmula de cambio agudo es regla, no este parámetro",cualquier,suero (pico 1-2 h y basal ≥24 h),pico y basal,diagnóstico,un valor aislado no es anafilaxia,mastocitosis o anafilaxia no documentadas,no pedir basal,condicionalmente crítico,12,14,10,8,12,10,7,6,útil en frontera alergia; no cierra anafilaxia,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO; consenso mastocitosis,consenso,internacional / ES (MIR-POE) según fuente,no A1,no buscado,pendiente,pico vs basal son anclas de un parámetro,propuesto
P-LAB-002,Subpoblación B naïve/memoria (CD27),switched memory B,"Porcentaje o absoluto de B memoria conmutada (p. ej. CD19+CD27+IgD-), panel declarado.",IEI,Inmunofenotipo B fino,CVID / EUROclass,estado,cuantitativo,% o células/µL,≥0,EUROclass umbrales versionados,CVID principalmente,citometría,"diagnóstico, pre-IGRT si posible",clasificación / pronóstico,panel debe declararse; no es CD19 total,fenotipo CVID de riesgo no visto,usar solo IgG,condicionalmente crítico,11,15,10,8,12,13,7,4,refina CVID; no sustituye clínica,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,EUROclass; IUIS III,EUROclass,internacional / ES (MIR-POE) según fuente,ESID FlowRepository,no buscado,pendiente,paneles no interoperables,propuesto
P-LAB-003,CD16/56 NK absoluto,NK count,Células NK CD3-CD16+ y/o CD56+ absolutas.,IEI,Inmunofenotipo NK,Sospecha CID / MHC-I,estado,cuantitativo,células/µL,≥0,rango etario lab,edad-específico,citometría,inmunofenotipo,clasificación,NK=0 no es SCID clásico T-B-,fenotipo NK no incorporado a IUIS I,ignorar columna NK de la tabla SCID,condicionalmente crítico,12,16,10,8,12,13,7,5,completa el fenotipo T/B/NK,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS I,2024,internacional / ES (MIR-POE) según fuente,ESID FlowRepository,no buscado,pendiente,función NK no es el recuento,propuesto
P-LAB-004,Proliferación a mitógeno,PHA; LTT mitogen,"Respuesta proliferativa linfocitaria a mitógeno declarado, con unidad del lab.",IEI,Función T,Sospecha SCID/CID,entrada funcional,cuantitativo,cpm o SI o %,según lab,muy baja orienta SCID/CID; método no interoperable,sospecha CID,sangre / cultivo,diagnóstico pre-HSCT,diagnóstico,mitógeno ≠ antígeno; no comparar labs,CID no confirmada funcionalmente,usar solo fenotipo,condicionalmente crítico,14,17,12,6,14,12,6,3,funcional pre-HSCT; poco disponible,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS I; ESID,lab SOP,internacional / ES (MIR-POE) según fuente,ESID,inaccesible,pendiente,unidad no interoperable,propuesto
